contract_version,run_id,run_kind,method,relative_path,score_status,score_failure_code,anomaly_score,threshold,threshold_source_path,calibration_sample_count,calibration_rank,predicted_class,is_anomalous,decision_reason,score_margin
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0000.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0001.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0002.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0003.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0004.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0005.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0006.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0007.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0008.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0009.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0010.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0011.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0012.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0013.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0014.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0015.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0016.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0017.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0018.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0019.png,ok,,0.2,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.010000000000000009
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0020.png,ok,,0.1,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.09
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0021.png,ok,,0.15,0.19,synthetic/calibration/0018.png,20,19,normal,false,score_at_or_below_threshold,-0.04000000000000001
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0022.png,ok,,0.3,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.10999999999999999
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0023.png,ok,,0.31,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.12
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0024.png,ok,,0.32,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.13
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0025.png,ok,,0.32999999999999996,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.13999999999999996
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0026.png,ok,,0.33999999999999997,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.14999999999999997
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0027.png,ok,,0.35,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.15999999999999998
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0028.png,ok,,0.36,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.16999999999999998
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0029.png,ok,,0.37,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.18
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0030.png,ok,,0.38,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.19
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0031.png,ok,,0.39,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.2
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0032.png,ok,,0.4,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.21000000000000002
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0033.png,ok,,0.41,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.21999999999999997
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0034.png,ok,,0.42,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.22999999999999998
evaluation-artifacts/v0.1,synthetic-e2e,synthetic,ecc_residual,synthetic/final/0035.png,ok,,0.43,0.19,synthetic/calibration/0018.png,20,19,anomalous,true,score_above_threshold,0.24
