partition,selection_rank,relative_path,selection_sha256
reference,1,pcb1/Data/Images/Normal/0246.JPG,007867ea7b23d4307462292b698a26411956788a35765bbe99a729e60e711046
reference,2,pcb1/Data/Images/Normal/0704.JPG,015b88df2c46a56d6181aabf9f970d43e09544edcf8282e60c625896e9eaca45
reference,3,pcb1/Data/Images/Normal/0440.JPG,01e4d0a90cb59316321a505a660dfba3c2552db6397d698d96cf7647d4ee4689
reference,4,pcb1/Data/Images/Normal/0927.JPG,02023844c1b832acd20ede9de0d346eefa4f38da4d8023a6007a9ccf5edc28bf
reference,5,pcb1/Data/Images/Normal/0546.JPG,020a9788ea4a50f21839c87668c3fa9f9671d4242a743adca7f01678eb1c04b6
reference,6,pcb1/Data/Images/Normal/0966.JPG,021191e332978798c342c247f9715bdbf82d578037c9ab236999be6003d51fc5
reference,7,pcb1/Data/Images/Normal/0420.JPG,022f8fbb3c8c2e93a89aa55599049fd2e060db6ecaf6b8240842c99c41ea8428
reference,8,pcb1/Data/Images/Normal/0014.JPG,026e65fb55d9bde12e3c1d9e8278728988fccf6303b95b0e6eea986124b3fa98
reference,9,pcb1/Data/Images/Normal/0331.JPG,02f1e60d2dd6f12ad20903b2f21689dbcbe124db7d88367718df8c87c06f00fd
reference,10,pcb1/Data/Images/Normal/0795.JPG,031551b56b2381fe3f399156409f9e4c7e71d4bd76e70272a20bc7c1dd7ea2ab
reference,11,pcb1/Data/Images/Normal/0635.JPG,0346ad4737427b2ef1829455f15ebca624e421b329e33b7813cbc2f6c3369c9e
reference,12,pcb1/Data/Images/Normal/0217.JPG,03879bc5599a5e742cccf5522be384ec606f260b212082a603a795af77d5f2ae
reference,13,pcb1/Data/Images/Normal/0572.JPG,03b950aa92638de6ce008b67a182456f2dc13e5254468b1e00e2058909043339
reference,14,pcb1/Data/Images/Normal/0895.JPG,03ce4c9eb52b10bd2ca52388cec68a07fb0bf6da0682cb169e498ddc2f2f65b9
reference,15,pcb1/Data/Images/Normal/0256.JPG,03d0021ed2f8fed4903bf4e4d12025fb15f116f256a6f4f63a2e643c5e5a75ef
reference,16,pcb1/Data/Images/Normal/0023.JPG,04b880f14a8b691802130162612f38c274a4ce5744288c93deb06838dcb8b0e7
