invocation_index,pass_index,query_index,asset_id,status,duration_ns,score,failure_category,failure_exception_type
0,0,0,synthetic/query/000,success,487091772,0.11556071043014526,,
1,0,1,synthetic/query/001,success,607800870,0.056819796562194824,,
2,0,2,synthetic/query/002,success,546639939,0.07399198412895203,,
3,0,3,synthetic/query/003,success,379926272,0.0637650191783905,,
4,0,4,synthetic/query/004,success,494077097,0.097206711769104,,
5,0,5,synthetic/query/005,success,363335645,0.08907085657119751,,
6,0,6,synthetic/query/006,success,382534981,0.09307286143302917,,
7,0,7,synthetic/query/007,success,433634214,0.05427396297454834,,
8,0,8,synthetic/query/008,success,385674610,0.0936419665813446,,
9,0,9,synthetic/query/009,success,426669297,0.08250007033348083,,
10,0,10,synthetic/query/010,success,435918724,0.06610774993896484,,
11,0,11,synthetic/query/011,success,318924694,0.06583952903747559,,
12,0,12,synthetic/query/012,success,381117063,0.06428897380828857,,
13,0,13,synthetic/query/013,success,441251034,0.06945142149925232,,
14,0,14,synthetic/query/014,success,364504834,0.13210880756378174,,
15,0,15,synthetic/query/015,success,488544951,0.07209736108779907,,
16,0,16,synthetic/query/016,success,364865867,0.09135082364082336,,
17,0,17,synthetic/query/017,success,383547442,0.08289346098899841,,
18,0,18,synthetic/query/018,success,429784756,0.07765814661979675,,
19,0,19,synthetic/query/019,success,350945960,0.060726553201675415,,
20,0,20,synthetic/query/020,success,354489189,0.049661874771118164,,
21,0,21,synthetic/query/021,success,404839609,0.06143689155578613,,
22,0,22,synthetic/query/022,success,374946287,0.06790441274642944,,
23,0,23,synthetic/query/023,success,366420669,0.10414594411849976,,
24,0,24,synthetic/query/024,success,587982579,0.05522391200065613,,
25,0,25,synthetic/query/025,success,393862595,0.10066273808479309,,
26,0,26,synthetic/query/026,success,344665737,0.0742376446723938,,
27,0,27,synthetic/query/027,success,446347948,0.09500104188919067,,
28,0,28,synthetic/query/028,success,387067929,0.05210837721824646,,
29,0,29,synthetic/query/029,success,350938549,0.13618916273117065,,
30,0,30,synthetic/query/030,success,406239986,0.08027899265289307,,
31,0,31,synthetic/query/031,success,376471848,0.06112074851989746,,
32,0,32,synthetic/query/032,success,375160816,0.10463464260101318,,
33,0,33,synthetic/query/033,success,493474403,0.06193476915359497,,
34,0,34,synthetic/query/034,success,378356473,0.10258716344833374,,
35,0,35,synthetic/query/035,success,366134891,0.0800449550151825,,
36,0,36,synthetic/query/036,success,433155476,0.06749019026756287,,
37,0,37,synthetic/query/037,success,364898571,0.0818561315536499,,
38,0,38,synthetic/query/038,success,376361793,0.1053386926651001,,
39,0,39,synthetic/query/039,success,470069355,0.06240576505661011,,
40,0,40,synthetic/query/040,success,522235213,0.07442241907119751,,
41,0,41,synthetic/query/041,success,506760092,0.10726258158683777,,
42,0,42,synthetic/query/042,success,415009038,0.060644447803497314,,
43,0,43,synthetic/query/043,success,465114226,0.09570232033729553,,
44,0,44,synthetic/query/044,success,465639597,0.06493881344795227,,
45,0,45,synthetic/query/045,success,509992209,0.08952420949935913,,
46,0,46,synthetic/query/046,success,420009852,0.08435502648353577,,
47,0,47,synthetic/query/047,success,433896071,0.10553139448165894,,
48,0,48,synthetic/query/048,success,366638231,0.07053017616271973,,
49,0,49,synthetic/query/049,success,420755420,0.05802434682846069,,
50,0,50,synthetic/query/050,success,325150637,0.05563855171203613,,
51,0,51,synthetic/query/051,success,352073882,0.09577673673629761,,
52,0,52,synthetic/query/052,success,420390199,0.09732484817504883,,
53,0,53,synthetic/query/053,success,403741832,0.0839310884475708,,
54,0,54,synthetic/query/054,success,409555187,0.07484093308448792,,
55,0,55,synthetic/query/055,success,400578701,0.10465991497039795,,
56,0,56,synthetic/query/056,success,301167193,0.0906381607055664,,
57,0,57,synthetic/query/057,success,400599819,0.07266762852668762,,
58,0,58,synthetic/query/058,success,396218888,0.06856828927993774,,
59,0,59,synthetic/query/059,success,433744061,0.055054306983947754,,
60,0,60,synthetic/query/060,success,410741817,0.08129075169563293,,
61,0,61,synthetic/query/061,success,458530007,0.11343264579772949,,
62,0,62,synthetic/query/062,success,645198789,0.08079701662063599,,
63,0,63,synthetic/query/063,success,666746272,0.08805239200592041,,
64,0,64,synthetic/query/064,success,526467877,0.07212436199188232,,
65,0,65,synthetic/query/065,success,586838842,0.06058502197265625,,
66,0,66,synthetic/query/066,success,435024401,0.07692199945449829,,
67,0,67,synthetic/query/067,success,440543838,0.08586558699607849,,
68,0,68,synthetic/query/068,success,630291535,0.06594446301460266,,
69,0,69,synthetic/query/069,success,558572809,0.08131766319274902,,
70,0,70,synthetic/query/070,success,679490250,0.0957329273223877,,
71,0,71,synthetic/query/071,success,496704709,0.08336657285690308,,
72,0,72,synthetic/query/072,success,445721565,0.08320963382720947,,
73,0,73,synthetic/query/073,success,401094765,0.08248141407966614,,
74,0,74,synthetic/query/074,success,350376106,0.05131986737251282,,
75,0,75,synthetic/query/075,success,370816900,0.08950108289718628,,
76,0,76,synthetic/query/076,success,359804930,0.05682873725891113,,
77,0,77,synthetic/query/077,success,373628144,0.06153038144111633,,
78,0,78,synthetic/query/078,success,383476081,0.05856287479400635,,
79,0,79,synthetic/query/079,success,395600812,0.06162601709365845,,
80,0,80,synthetic/query/080,success,551004814,0.06562229990959167,,
81,0,81,synthetic/query/081,success,603351800,0.09228560328483582,,
82,0,82,synthetic/query/082,success,537415726,0.060340702533721924,,
83,0,83,synthetic/query/083,success,566614539,0.08545070886611938,,
84,0,84,synthetic/query/084,success,718658022,0.06350737810134888,,
85,0,85,synthetic/query/085,success,507600934,0.09975031018257141,,
86,0,86,synthetic/query/086,success,406885483,0.05910047888755798,,
87,0,87,synthetic/query/087,success,398050396,0.09887257218360901,,
88,0,88,synthetic/query/088,success,491782625,0.06553179025650024,,
89,0,89,synthetic/query/089,success,433669224,0.08273196220397949,,
90,0,90,synthetic/query/090,success,406198676,0.06387662887573242,,
91,0,91,synthetic/query/091,success,373605251,0.11498728394508362,,
92,0,92,synthetic/query/092,success,364772194,0.06111404299736023,,
93,0,93,synthetic/query/093,success,388020174,0.06834182143211365,,
94,0,94,synthetic/query/094,success,379100416,0.10598602890968323,,
95,0,95,synthetic/query/095,success,518569918,0.07899898290634155,,
96,0,96,synthetic/query/096,success,391961725,0.05502542853355408,,
97,0,97,synthetic/query/097,success,544367764,0.09636837244033813,,
98,0,98,synthetic/query/098,success,517332449,0.10205009579658508,,
99,0,99,synthetic/query/099,success,565130854,0.05691993236541748,,
100,1,0,synthetic/query/000,success,449951572,0.11556071043014526,,
101,1,1,synthetic/query/001,success,565968219,0.056819796562194824,,
102,1,2,synthetic/query/002,success,379011075,0.07399198412895203,,
103,1,3,synthetic/query/003,success,330893277,0.0637650191783905,,
104,1,4,synthetic/query/004,success,372926769,0.097206711769104,,
105,1,5,synthetic/query/005,success,337323128,0.08907085657119751,,
106,1,6,synthetic/query/006,success,427993963,0.09307286143302917,,
107,1,7,synthetic/query/007,success,391189247,0.05427396297454834,,
108,1,8,synthetic/query/008,success,373301780,0.0936419665813446,,
109,1,9,synthetic/query/009,success,398976642,0.08250007033348083,,
110,1,10,synthetic/query/010,success,387139553,0.06610774993896484,,
111,1,11,synthetic/query/011,success,285127744,0.06583952903747559,,
112,1,12,synthetic/query/012,success,354348893,0.06428897380828857,,
113,1,13,synthetic/query/013,success,321575900,0.06945142149925232,,
114,1,14,synthetic/query/014,success,364350280,0.13210880756378174,,
115,1,15,synthetic/query/015,success,366529955,0.07209736108779907,,
116,1,16,synthetic/query/016,success,374614824,0.09135082364082336,,
117,1,17,synthetic/query/017,success,399350362,0.08289346098899841,,
118,1,18,synthetic/query/018,success,359277300,0.07765814661979675,,
119,1,19,synthetic/query/019,success,342316264,0.060726553201675415,,
120,1,20,synthetic/query/020,success,388022632,0.049661874771118164,,
121,1,21,synthetic/query/021,success,360864059,0.06143689155578613,,
122,1,22,synthetic/query/022,success,417900594,0.06790441274642944,,
123,1,23,synthetic/query/023,success,411108362,0.10414594411849976,,
124,1,24,synthetic/query/024,success,417161277,0.05522391200065613,,
125,1,25,synthetic/query/025,success,510095793,0.10066273808479309,,
126,1,26,synthetic/query/026,success,370154877,0.0742376446723938,,
127,1,27,synthetic/query/027,success,476743134,0.09500104188919067,,
128,1,28,synthetic/query/028,success,353451073,0.05210837721824646,,
129,1,29,synthetic/query/029,success,383227649,0.13618916273117065,,
130,1,30,synthetic/query/030,success,380318588,0.08027899265289307,,
131,1,31,synthetic/query/031,success,382830548,0.06112074851989746,,
132,1,32,synthetic/query/032,success,376329100,0.10463464260101318,,
133,1,33,synthetic/query/033,success,415500448,0.06193476915359497,,
134,1,34,synthetic/query/034,success,379722074,0.10258716344833374,,
135,1,35,synthetic/query/035,success,446852534,0.0800449550151825,,
136,1,36,synthetic/query/036,success,590533204,0.06749019026756287,,
137,1,37,synthetic/query/037,success,449623915,0.0818561315536499,,
138,1,38,synthetic/query/038,success,458535484,0.1053386926651001,,
139,1,39,synthetic/query/039,success,482882410,0.06240576505661011,,
140,1,40,synthetic/query/040,success,442070773,0.07442241907119751,,
141,1,41,synthetic/query/041,success,349612362,0.10726258158683777,,
142,1,42,synthetic/query/042,success,343514006,0.060644447803497314,,
143,1,43,synthetic/query/043,success,334457649,0.09570232033729553,,
144,1,44,synthetic/query/044,success,346232792,0.06493881344795227,,
145,1,45,synthetic/query/045,success,562973164,0.08952420949935913,,
146,1,46,synthetic/query/046,success,564881720,0.08435502648353577,,
147,1,47,synthetic/query/047,success,500560509,0.10553139448165894,,
148,1,48,synthetic/query/048,success,403521681,0.07053017616271973,,
149,1,49,synthetic/query/049,success,459390641,0.05802434682846069,,
150,1,50,synthetic/query/050,success,494453478,0.05563855171203613,,
151,1,51,synthetic/query/051,success,389861682,0.09577673673629761,,
152,1,52,synthetic/query/052,success,706279275,0.09732484817504883,,
