contract_version,run_id,run_kind,method,pass_index,asset_id,adapter_duration_ns,scorer_duration_ns,duration_ns,score_status,score_failure_code,anomaly_score
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000000,,467334039,467334039,ok,,0.11261155113281675
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000001,,449382097,449382097,ok,,0.12391719081816299
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000002,,494231193,494231193,ok,,0.11928220567551885
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000003,,460019208,460019208,ok,,0.09732945867599611
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000004,,426618997,426618997,ok,,0.12125910127036295
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000005,,385127072,385127072,ok,,0.14094862361075813
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000006,,381248580,381248580,ok,,0.12676167259635795
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000007,,398951694,398951694,ok,,0.10752930400465004
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000008,,413445364,413445364,ok,,0.12402928942383667
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000009,,417268153,417268153,ok,,0.14323226761841196
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000010,,386926500,386926500,ok,,0.11528156173641467
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000011,,471293842,471293842,ok,,0.09269120910876279
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000012,,511813006,511813006,ok,,0.12178805427872304
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000013,,448101747,448101747,ok,,0.10888614946330583
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,0,asset-000014,,491396160,491396160,ok,,0.11568967330147469
