contract_version,run_id,run_kind,method,source_path,score_status,score_failure_code,anomaly_score
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0000.JPG,ok,,0.0801820486222244
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0001.JPG,ok,,0.09450634240120183
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0002.JPG,ok,,0.09152300071678965
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0003.JPG,ok,,0.11720066535816513
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0004.JPG,ok,,0.09488224033704686
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0005.JPG,ok,,0.09540118949273195
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0006.JPG,ok,,0.09424966416052728
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0007.JPG,ok,,0.12456518622932643
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0008.JPG,ok,,0.09268010474322384
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0009.JPG,ok,,0.10460608593813912
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0010.JPG,ok,,0.11011341898426165
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0012.JPG,ok,,0.09242796985236269
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0014.JPG,ok,,0.11478105080604521
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0015.JPG,ok,,0.13929298745138732
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0017.JPG,ok,,0.09703108927139287
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0018.JPG,ok,,0.10665295843086241
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0019.JPG,ok,,0.08639008250888296
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0020.JPG,ok,,0.08746939102777677
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,patch_hog_ocsvm,pcb2/Data/Images/Normal/0021.JPG,ok,,0.09168770479535242
