contract_version,run_id,run_kind,method,asset_id,score_status,score_failure_code,anomaly_score,diagnostics_json
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000000,ok,,0.6240494560340286,"{""correlation"":0.5837906512287774,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.9911460876464844,""rotation_degrees"":0.8931781511157508,""top_pixel_count"":2370,""translation_x_pixels"":2.0446412563323975,""translation_y_pixels"":-3.0003068447113037,""warp_matrix"":[[0.999878466129303,-0.015588267706334591,2.0446412563323975],[0.015588267706334591,0.999878466129303,-3.0003068447113037]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000001,ok,,0.23297002690879604,"{""correlation"":0.9591402048051431,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.9806022644042969,""rotation_degrees"":-0.6289534788740493,""top_pixel_count"":2370,""translation_x_pixels"":-2.22186279296875,""translation_y_pixels"":11.373119354248047,""warp_matrix"":[[0.9999397397041321,0.01097708847373724,-2.22186279296875],[-0.01097708847373724,0.9999397397041321,11.373119354248047]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000002,ok,,0.6061900222603279,"{""correlation"":0.5724967396019328,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.9932594299316406,""rotation_degrees"":0.620556002067045,""top_pixel_count"":2370,""translation_x_pixels"":4.448924541473389,""translation_y_pixels"":-1.597785472869873,""warp_matrix"":[[0.999941349029541,-0.010830533690750599,4.448924541473389],[0.010830533690750599,0.999941349029541,-1.597785472869873]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000003,ok,,0.3328985337691131,"{""correlation"":0.9189822378032257,""effective_pixel_count"":235620,""effective_support_fraction"":0.9945506962530233,""registration_status"":""ok"",""registration_valid_fraction"":0.9633979797363281,""rotation_degrees"":0.09956089422608881,""top_pixel_count"":2357,""translation_x_pixels"":14.552969932556152,""translation_y_pixels"":4.3379807472229,""warp_matrix"":[[0.9999985098838806,-0.0017376645701006055,14.552969932556152],[0.0017376645701006055,0.9999985098838806,4.3379807472229]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000004,ok,,0.6078993814152505,"{""correlation"":0.5698727384807506,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.9881362915039062,""rotation_degrees"":-0.3411401549024104,""top_pixel_count"":2370,""translation_x_pixels"":1.325293779373169,""translation_y_pixels"":4.782273769378662,""warp_matrix"":[[0.9999822974205017,0.005953983869403601,1.325293779373169],[-0.005953983869403601,0.9999822974205017,4.782273769378662]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000005,ok,,0.6145103429943197,"{""correlation"":0.5878022818741402,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.98028564453125,""rotation_degrees"":-0.2983738848884517,""top_pixel_count"":2370,""translation_x_pixels"":0.3728804290294647,""translation_y_pixels"":9.759925842285156,""warp_matrix"":[[0.999986469745636,0.00520758330821991,0.3728804290294647],[-0.00520758330821991,0.999986469745636,9.759925842285156]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000006,ok,,0.3102429059801725,"{""correlation"":0.9244730283304546,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.9825439453125,""rotation_degrees"":-0.5472442958381943,""top_pixel_count"":2370,""translation_x_pixels"":0.18367129564285278,""translation_y_pixels"":8.838720321655273,""warp_matrix"":[[0.9999544024467468,0.00955106969922781,0.18367129564285278],[-0.00955106969922781,0.9999544024467468,8.838720321655273]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000007,ok,,0.5993915378292904,"{""correlation"":0.5780494437582442,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.9976692199707031,""rotation_degrees"":-0.03161253250234379,""top_pixel_count"":2370,""translation_x_pixels"":-1.5494219064712524,""translation_y_pixels"":-0.22357836365699768,""warp_matrix"":[[0.9999998211860657,0.000551742734387517,-1.5494219064712524],[-0.000551742734387517,0.9999998211860657,-0.22357836365699768]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000008,ok,,0.6045174650250608,"{""correlation"":0.5602869656649097,""effective_pixel_count"":236909,""effective_support_fraction"":0.9999915580112363,""registration_status"":""ok"",""registration_valid_fraction"":0.9811477661132812,""rotation_degrees"":1.3605919346443882,""top_pixel_count"":2370,""translation_x_pixels"":2.707319498062134,""translation_y_pixels"":-0.19631889462471008,""warp_matrix"":[[0.9997180700302124,-0.023744577541947365,2.707319498062134],[0.023744577541947365,0.9997180700302124,-0.19631889462471008]]}"
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,asset-000009,ok,,0.6146960495644984,"{""correlation"":0.5816312634744111,""effective_pixel_count"":236911,""effective_support_fraction"":1.0,""registration_status"":""ok"",""registration_valid_fraction"":0.9706039428710938,""rotation_degrees"":-0.1277995507651955,""top_pixel_count"":2370,""translation_x_pixels"":-5.523895740509033,""translation_y_pixels"":10.750252723693848,""warp_matrix"":[[0.9999974966049194,0.002230521058663726,-5.523895740509033],[-0.002230521058663726,0.9999974966049194,10.750252723693848]]}"
