contract_version,run_id,run_kind,method,pass_index,asset_id,adapter_duration_ns,scorer_duration_ns,duration_ns,score_status,score_failure_code,anomaly_score
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000000,,227279228,227279228,ok,,0.6240494560340286
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000001,,326439480,326439480,ok,,0.23297002690879604
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000002,,216392505,216392505,ok,,0.6061900222603279
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000003,,736625479,736625479,ok,,0.3328985337691131
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000004,,178214564,178214564,ok,,0.6078993814152505
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000005,,396059119,396059119,ok,,0.6145103429943197
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000006,,347504801,347504801,ok,,0.3102429059801725
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000007,,220357006,220357006,ok,,0.5993915378292904
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000008,,265005275,265005275,ok,,0.6045174650250608
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000009,,430329034,430329034,ok,,0.6146960495644984
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000010,,283946584,283946584,ok,,0.6168852563397291
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000011,,270155149,270155149,ok,,0.23828158352193954
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000012,,371240811,371240811,ok,,0.26271062368833564
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000013,,378122856,378122856,ok,,0.6106555877858576
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000014,,268605203,268605203,ok,,0.6200170921876964
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000015,,583684435,583684435,ok,,0.27038906092403103
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000016,,892786454,892786454,ok,,0.5386210387302033
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000017,,137346103,137346103,ok,,0.3239536495651374
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000018,,164559259,164559259,ok,,0.3192906742546126
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000019,,172349644,172349644,ok,,0.3384999075016392
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000020,,126559424,126559424,ok,,0.2700579300900049
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000021,,164052516,164052516,ok,,0.3067438953284976
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000022,,408574276,408574276,ok,,0.41113854647185943
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000023,,340954592,340954592,ok,,0.30980088147432994
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,ecc_residual,0,asset-000024,,464553114,464553114,ok,,0.49415874930069414
