contract_version,run_id,run_kind,method,pass_index,asset_id,adapter_duration_ns,scorer_duration_ns,duration_ns,score_status,score_failure_code,anomaly_score
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000000,7391564,490178539,497570103,ok,,0.29281163215637207
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000001,6642057,455132554,461774611,ok,,0.1327459216117859
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000002,6093059,383080967,389174026,ok,,0.12565189599990845
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000003,9930580,439057949,448988529,ok,,0.1677357256412506
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000004,7109635,377365477,384475112,ok,,0.4536485970020294
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000005,5547672,319628925,325176597,ok,,0.21594488620758057
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000006,6009781,429209027,435218808,ok,,0.1458495855331421
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000007,7529124,378998298,386527422,ok,,0.17189547419548035
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000008,6037643,386978403,393016046,ok,,0.27650317549705505
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000009,6105236,381854653,387959889,ok,,0.12732917070388794
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000010,6096361,341994182,348090543,ok,,0.12041771411895752
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000011,8601735,370709401,379311136,ok,,0.1134716272354126
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000012,6858767,395423087,402281854,ok,,0.1304992437362671
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000013,7356891,339339948,346696839,ok,,0.2209269404411316
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000014,7175784,408184787,415360571,ok,,0.0934307873249054
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000015,10693399,424825803,435519202,ok,,0.1180589497089386
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000016,6119167,447669539,453788706,ok,,0.1720910370349884
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000017,6039914,397111302,403151216,ok,,0.18376466631889343
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000018,6812639,430288411,437101050,ok,,0.15097007155418396
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000019,11945776,416421275,428367051,ok,,0.12575894594192505
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000020,7320566,416969359,424289925,ok,,0.126042902469635
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000021,7291259,403463632,410754891,ok,,0.20924201607704163
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000022,7609203,419519350,427128553,ok,,0.23402154445648193
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000023,10492168,417215192,427707360,ok,,0.1615736484527588
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000024,8391629,445474041,453865670,ok,,0.18372738361358643
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000025,6839367,372941537,379780904,ok,,0.259328156709671
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000026,6721104,374052862,380773966,ok,,0.2853323817253113
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,0,asset-000027,9707574,401429591,411137165,ok,,0.2423417866230011
