contract_version,run_id,run_kind,method,asset_id,score_status,score_failure_code,anomaly_score,threshold,predicted_class,is_anomalous,decision_reason,score_margin
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000000,ok,,0.29281163215637207,0.22208529710769653,anomalous,true,score_strictly_greater_than_threshold,0.07072633504867554
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000001,ok,,0.1327459216117859,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.08933937549591064
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000002,ok,,0.12565189599990845,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.09643340110778809
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000003,ok,,0.1677357256412506,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.05434957146644592
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000004,ok,,0.4536485970020294,0.22208529710769653,anomalous,true,score_strictly_greater_than_threshold,0.23156329989433289
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000005,ok,,0.21594488620758057,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.006140410900115967
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000006,ok,,0.1458495855331421,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.07623571157455444
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000007,ok,,0.17189547419548035,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.050189822912216187
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000008,ok,,0.27650317549705505,0.22208529710769653,anomalous,true,score_strictly_greater_than_threshold,0.05441787838935852
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000009,ok,,0.12732917070388794,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.0947561264038086
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000010,ok,,0.12041771411895752,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.10166758298873901
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000011,ok,,0.1134716272354126,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.10861366987228394
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000012,ok,,0.1304992437362671,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.09158605337142944
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000013,ok,,0.2209269404411316,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.0011583566665649414
evaluation-artifacts/v0.2,visa-pcb2-v0-2-final,final_test,dinov2_vits14_224_nn,asset-000014,ok,,0.0934307873249054,0.22208529710769653,normal,false,score_not_greater_than_threshold,-0.12865450978279114
